DOID	Metab
DOID:13922	HMDB0000101
DOID:10652	HMDB0000107
DOID:12849	HMDB0000108
DOID:10608	HMDB0000108
DOID:8778	HMDB0000108
DOID:1324	HMDB0000108
DOID:13922	HMDB0000108
DOID:10652	HMDB0000112
DOID:0060174	HMDB0000112
DOID:0060695	HMDB0000112
DOID:9256	HMDB0000112
DOID:8778	HMDB0000112
DOID:1793	HMDB0000112
DOID:3388	HMDB0000112
DOID:9255	HMDB0000112
DOID:9744	HMDB0000112
DOID:13922	HMDB0000112
DOID:0090126	HMDB0000115
DOID:9256	HMDB0000115
DOID:1324	HMDB0000115
DOID:13608	HMDB0000115
DOID:13922	HMDB0000115
DOID:5419	HMDB0000115
DOID:0050575	HMDB0000115
DOID:0060358	HMDB0000115
DOID:8986	HMDB0000118
DOID:5419	HMDB0000118
DOID:594	HMDB0000118
DOID:2476	HMDB0000118
DOID:12849	HMDB0000118
DOID:14330	HMDB0000118
DOID:12705	HMDB0000118
DOID:1470	HMDB0000118
DOID:0090123	HMDB0000118
DOID:10608	HMDB0000118
DOID:0111168	HMDB0000118
DOID:13922	HMDB0000118
DOID:9281	HMDB0000118
DOID:0060693	HMDB0000118
DOID:7148	HMDB0000121
DOID:10652	HMDB0000121
DOID:14118	HMDB0000122
DOID:0050710	HMDB0000122
DOID:13774	HMDB0000122
DOID:0060879	HMDB0000122
DOID:0050811	HMDB0000122
DOID:0060810	HMDB0000122
DOID:0050546	HMDB0000122
DOID:0050811	HMDB0000122
DOID:0111135	HMDB0000122
DOID:5204	HMDB0000122
DOID:3652	HMDB0000122
DOID:0050470	HMDB0000122
DOID:0111100	HMDB0000122
DOID:0070219	HMDB0000122
DOID:0090129	HMDB0000122
DOID:14365	HMDB0000122
DOID:5572	HMDB0000122
DOID:0050440	HMDB0000122
DOID:0090060	HMDB0000122
DOID:10652	HMDB0000122
DOID:9256	HMDB0000122
DOID:9352	HMDB0000122
DOID:9744	HMDB0000122
DOID:13922	HMDB0000122
DOID:5419	HMDB0000122
DOID:9268	HMDB0000123
DOID:4890	HMDB0000123
DOID:10652	HMDB0000123
DOID:0050710	HMDB0000123
DOID:0060168	HMDB0000123
DOID:9970	HMDB0000123
DOID:0080076	HMDB0000123
DOID:0050723	HMDB0000123
DOID:0050724	HMDB0000123
DOID:5419	HMDB0000123
DOID:0050722	HMDB0000123
DOID:9256	HMDB0000123
DOID:12849	HMDB0000123
DOID:8778	HMDB0000123
DOID:13189	HMDB0000123
DOID:1793	HMDB0000123
DOID:3388	HMDB0000123
DOID:9255	HMDB0000123
DOID:1324	HMDB0000123
DOID:9280	HMDB0000123
DOID:14755	HMDB0000123
DOID:14701	HMDB0000123
DOID:0050726	HMDB0000123
DOID:9281	HMDB0000123
DOID:9269	HMDB0000123
DOID:13922	HMDB0000123
DOID:10652	HMDB0000124
DOID:9255	HMDB0000124
DOID:3613	HMDB0000125
DOID:5419	HMDB0000125
DOID:2377	HMDB0000125
DOID:9256	HMDB0000126
DOID:10652	HMDB0000126
DOID:9255	HMDB0000126
DOID:0050799	HMDB0000128
DOID:0050712	HMDB0000128
DOID:0050800	HMDB0000128
DOID:8778	HMDB0000128
DOID:13922	HMDB0000128
DOID:5419	HMDB0000128
DOID:8778	HMDB0000130
DOID:9270	HMDB0000130
DOID:13922	HMDB0000130
DOID:0060363	HMDB0000131
DOID:9352	HMDB0000131
DOID:5419	HMDB0000131
DOID:8778	HMDB0000131
DOID:9256	HMDB0000131
DOID:13922	HMDB0000131
DOID:10652	HMDB0000132
DOID:9256	HMDB0000132
DOID:9255	HMDB0000132
DOID:1919	HMDB0000132
DOID:9256	HMDB0000133
DOID:8778	HMDB0000133
DOID:13922	HMDB0000133
DOID:9256	HMDB0000134
DOID:10652	HMDB0000134
DOID:7148	HMDB0000134
DOID:1324	HMDB0000134
DOID:13922	HMDB0000134
DOID:10608	HMDB0000138
DOID:13608	HMDB0000138
DOID:1485	HMDB0000138
DOID:9870	HMDB0000138
DOID:893	HMDB0000138
DOID:9256	HMDB0000138
DOID:8778	HMDB0000138
DOID:5419	HMDB0000139
DOID:9256	HMDB0000139
DOID:8778	HMDB0000139
DOID:2977	HMDB0000139
DOID:2977	HMDB0000139
DOID:13922	HMDB0000139
DOID:9268	HMDB0000139
DOID:1386	HMDB0000140
DOID:1793	HMDB0000142
DOID:7148	HMDB0000142
DOID:1324	HMDB0000142
DOID:9744	HMDB0000142
DOID:13922	HMDB0000142
DOID:9870	HMDB0000143
DOID:9870	HMDB0000143
DOID:9256	HMDB0000143
DOID:13922	HMDB0000143
DOID:1700	HMDB0000145
DOID:5419	HMDB0000148
DOID:10652	HMDB0000148
DOID:10534	HMDB0000148
DOID:0060650	HMDB0000148
DOID:1206	HMDB0000148
DOID:9256	HMDB0000148
DOID:12849	HMDB0000148
DOID:8778	HMDB0000148
DOID:9970	HMDB0000148
DOID:1793	HMDB0000148
DOID:3388	HMDB0000148
DOID:13922	HMDB0000148
DOID:9256	HMDB0000149
DOID:1793	HMDB0000149
DOID:3388	HMDB0000149
DOID:14701	HMDB0000149
DOID:9269	HMDB0000149
DOID:13922	HMDB0000149
DOID:10283	HMDB0000150
DOID:0050811	HMDB0000151
DOID:0050811	HMDB0000151
DOID:1700	HMDB0000151
DOID:0050811	HMDB0000151
DOID:9256	HMDB0000152
DOID:9352	HMDB0000153
DOID:9256	HMDB0000156
DOID:10652	HMDB0000156
DOID:9255	HMDB0000156
DOID:13922	HMDB0000156
DOID:1919	HMDB0000157
DOID:3613	HMDB0000157
DOID:0060236	HMDB0000157
DOID:0050710	HMDB0000157
DOID:9256	HMDB0000157
DOID:8778	HMDB0000157
DOID:7148	HMDB0000157
DOID:1793	HMDB0000157
DOID:3388	HMDB0000157
DOID:10652	HMDB0000157
DOID:9255	HMDB0000157
DOID:1324	HMDB0000157
DOID:13922	HMDB0000157
DOID:684	HMDB0000157
DOID:5419	HMDB0000158
DOID:10652	HMDB0000158
DOID:9256	HMDB0000158
DOID:9275	HMDB0000158
DOID:0050726	HMDB0000158
DOID:0050544	HMDB0000158
DOID:9970	HMDB0000158
DOID:9273	HMDB0000158
DOID:12849	HMDB0000158
DOID:8778	HMDB0000158
DOID:1793	HMDB0000158
DOID:3388	HMDB0000158
DOID:9255	HMDB0000158
DOID:13922	HMDB0000158
DOID:9269	HMDB0000159
DOID:9281	HMDB0000159
DOID:10652	HMDB0000159
DOID:9970	HMDB0000159
DOID:0090106	HMDB0000159
DOID:5419	HMDB0000159
DOID:9256	HMDB0000159
DOID:12849	HMDB0000159
DOID:8778	HMDB0000159
DOID:13189	HMDB0000159
DOID:7148	HMDB0000159
DOID:1793	HMDB0000159
DOID:3388	HMDB0000159
DOID:9255	HMDB0000159
DOID:13922	HMDB0000159
DOID:0060168	HMDB0000161
DOID:9269	HMDB0000161
DOID:3649	HMDB0000161
DOID:0060067	HMDB0000161
DOID:0070242	HMDB0000161
DOID:3651	HMDB0000161
DOID:0080363	HMDB0000161
DOID:399	HMDB0000161
DOID:5419	HMDB0000161
DOID:8778	HMDB0000161
DOID:9256	HMDB0000161
DOID:12849	HMDB0000161
DOID:13189	HMDB0000161
DOID:7148	HMDB0000161
DOID:1793	HMDB0000161
DOID:3388	HMDB0000161
DOID:10652	HMDB0000161
DOID:9255	HMDB0000161
DOID:1324	HMDB0000161
DOID:13922	HMDB0000161
DOID:9970	HMDB0000162
DOID:9269	HMDB0000162
DOID:3651	HMDB0000162
DOID:0070132	HMDB0000162
DOID:0060650	HMDB0000162
DOID:0080363	HMDB0000162
DOID:10652	HMDB0000162
DOID:9256	HMDB0000162
DOID:10608	HMDB0000162
DOID:12849	HMDB0000162
DOID:8778	HMDB0000162
DOID:7148	HMDB0000162
DOID:1793	HMDB0000162
DOID:3388	HMDB0000162
DOID:9255	HMDB0000162
